,article_id,text,label
1,1,幫助牙齒骨骼正常發育，就是這麼簡單！探索幫助牙齒骨骼正常發育的奇妙世界。為幫助牙齒骨骼正常發育而設計，為持久耐用而打造。,0
2,2,今晚就來幫助消化一下。每天最好的時光，就是幫助消化。幫助消化，萬中選一的神救援。幫助消化，也乾淨溜溜。,0
3,3,提升能力，就靠幫助維持消化道機能。您絕不想錯過幫助維持消化道機能。如果您有時間，我們有幫助維持消化道機能。,0
4,4,改變細菌叢生態，讓您的生活多點樂趣。全新思維，全新改變細菌叢生態。改變細菌叢生態。,0
5,5,隨時，隨地，使排便順暢。馬上擁有使排便順暢。給您使排便順暢！,0
6,6,調整體質。讓調整體質為您實現更美好的生活。調整體質搞定一切。,0
7,7,全心思考，悉心感受，調節生理機能。調節生理機能，自然的產物。調節生理機能，您一定會愛上！,0
8,8,該來個簡單俐落的滋補強身。有了滋補強身，生活更有意義。滋補強身，經典原創。有了滋補強身，生活真美麗。,0
9,9,增強體力打造更好的未來。有了增強體力，一切易如反掌。您需要的就是增強體力。增強體力，多種吃法，多種享受。,0
10,10,精神旺盛不停歇。精神旺盛，思緒頓通！精神旺盛更上一層樓。輕輕鬆鬆精神旺盛。,0
11,11,我們讓好養顏美容成真。養顏美容神救援！養顏美容，完美極致。輕輕鬆鬆養顏美容。,0
12,12,幫助入睡，好得沒話說。幫助入睡，創造驚奇，就是我們。幫助入睡更上一層樓。,0
13,13,營養補給就對了。營養補給，您的專家。營養補給。有了營養補給，天天開心。,0
14,14,健康維持，隨時上線。健康維持讓夢想成真。健康維持讓一切更美好。想要截然不同的改變？試試健康維持。,0
15,15,享受青春美麗。青春美麗充滿活力。青春美麗，所向無敵。青春美麗熟能生巧。,0
16,16,產前產後或病後之補養。全民產前產後或病後之補養。享受產前產後或病後之補養更無負擔。有了產前產後或病後之補養，就對了。,0
17,17,促進新陳代謝創造無限可能。促進新陳代謝好處多多。促進新陳代謝，優秀看得到。,0
18,18,大家最愛的清涼解渴。正確的時機，正確的清涼解渴。清涼解渴，純粹慾望。清涼解渴，就是這樣！,0
19,19,生津止渴，隨時上線。今晚就來生津止渴一下。生津止渴！生津止渴就對了。,0
20,20,促進食慾精心打造。促進食慾絕佳之選。促進食慾促進身體健康。來個促進食慾，讓您會心一笑。,0
21,21,開胃，享受與眾不同。讓您再次感到開胃。保持清新，就靠開胃。開胃，全新進化。,0
22,22,退火的藝術。退火大反擊。真是清涼！真是退火！退火，退火一下。,0
23,23,降火氣是首要任務。降火氣，聰明的選擇。降火氣，真正的滿足。降火氣靠得住。給您降火氣！,0
24,24,使口氣芬芳。終極使口氣芬芳機器。使口氣芬芳，做就對了。使口氣芬芳，全新地位象徵。試試使口氣芬芳，您一定會喜歡！,0
25,25,促進唾液分泌，絕不擋路。促進唾液分泌，不用遲疑，快來試試。促進唾液分泌為您指引正確的方向。,0
26,26,潤喉就交給我們。潤喉，就是這樣！潤喉日夜與您同在。正確的時機，正確的潤喉。全新思維，全新潤喉。潤喉，品質看的到。,0
27,27,生津解渴。生津解渴舒緩良方。下一站，生津解渴。生津解渴，真正的贏家。生津解渴，您一定會愛上！,0
